cardholder_id,program_provider_id,card_id,external_user_id,merchant_id,name,category,transaction_id,transaction_date,authorized_amount,transaction_amount,authorized_amount_in_usd,cashback_amount,created_at,Recency,Frequency,Monetary,Cluster
433_2,17,44e3bd78-6a2e-ef11-abbe-043f72dce83d,VOXJAPAN1718822000050,286,Nakau,Restaurants,384171686522358,2024-06-19 19:04:10,710.0,710.0,4.51,106.0,2024-06-19 19:04:16,8.0,15.0,12960.0,2.0
620_2,17,2915fc96-152e-ef11-abbe-043f72dce83d,VOXJAPAN1718785463684,289,Mcdonalds,Restaurants,584172017230980,2024-06-20 00:28:42,380.0,380.0,2.41,57.0,2024-06-20 00:28:45,16.0,20.0,9210.0,2.0
252_2,17,c1252689-9a2e-ef11-abbe-043f72dce83d,VOXJAPAN1718842592488,289,Mcdonalds,Restaurants,304172018079422,2024-06-20 00:30:07,310.0,310.0,1.97,46.0,2024-06-20 00:30:10,16.0,25.0,8380.0,2.0
767_2,17,10159d8e-9d2e-ef11-abbe-043f72dce83d,VOXJAPAN1718843798926,289,Mcdonalds,Restaurants,464172029218123,2024-06-20 00:48:40,150.0,150.0,0.95,22.0,2024-06-20 00:48:44,12.0,32.0,5150.0,2.0
477_2,17,0dc2fcab-892e-ef11-abbe-043f72dce83d,VOXJAPAN1718835341201,289,Mcdonalds,Restaurants,384172038987932,2024-06-20 01:04:57,450.0,450.0,2.86,67.0,2024-06-20 01:05:01,1.0,14.0,8821.0,2.0
847_2,17,044d2c81-1c2e-ef11-abbe-043f72dce83d,VOXJAPAN1718788452608,289,Mcdonalds,Restaurants,304172042437260,2024-06-20 01:10:43,470.0,470.0,2.98,70.0,2024-06-20 01:10:45,1.0,20.0,10990.0,2.0
135_2,17,25153bfb-4b2e-ef11-abbe-043f72dce83d,VOXJAPAN1718808892728,289,Mcdonalds,Restaurants,304172050121093,2024-06-20 01:23:31,290.0,290.0,1.84,43.0,2024-06-20 01:23:34,5.0,23.0,8980.0,2.0
554_2,17,130d0b8f-a12e-ef11-abbe-043f72dce83d,VOXJAPAN1718845613827,285,Katsuya,Restaurants,384172073397942,2024-06-20 02:02:18,780.0,780.0,4.95,117.0,2024-06-20 02:02:21,1.0,13.0,9959.0,2.0
142_2,17,f697296d-3c2e-ef11-abbe-043f72dce83d,VOXJAPAN1718802040258,289,Mcdonalds,Restaurants,584172078090463,2024-06-20 02:10:08,530.0,530.0,3.36,79.0,2024-06-20 02:10:13,1.0,24.0,13240.0,2.0
455_2,17,e634ea86-882e-ef11-abbe-043f72dce83d,VOXJAPAN1718834324379,287,Sukiya,Restaurants,384172081879944,2024-06-20 02:16:26,1530.0,1530.0,9.71,229.0,2024-06-20 02:16:30,1.0,14.0,14080.0,2.0
