cardholder_id,program_provider_id,card_id,external_user_id,merchant_id,name,category,transaction_id,transaction_date,authorized_amount,transaction_amount,authorized_amount_in_usd,cashback_amount,created_at,Recency,Frequency,Monetary,Cluster
3421_4,17,878edb69-492e-ef11-abbe-043f72dce83d,VOXJAPAN1718807744124,284,Mosburger,Restaurants,584171845604565,2024-06-19 23:29:19,560.0,560.0,3.55,84.0,2024-06-19 23:29:22,28.0,3.0,990.0,4.0
2043_4,17,792106df-902e-ef11-abbe-043f72dce83d,VOXJAPAN1718838325838,289,Mcdonalds,Restaurants,304171856542736,2024-06-19 23:47:34,690.0,690.0,4.38,103.0,2024-06-19 23:47:37,16.0,3.0,1330.0,4.0
2966_4,17,82f9540c-9e2e-ef11-abbe-043f72dce83d,VOXJAPAN1718844103684,288,Karayama,Restaurants,304172073532571,2024-06-20 02:02:33,1298.0,1298.0,8.24,194.0,2024-06-20 02:02:36,25.0,3.0,4258.0,4.0
1395_4,17,06debf2d-432e-ef11-abbe-043f72dce83d,VOXJAPAN1718805083143,289,Mcdonalds,Restaurants,584172088541109,2024-06-20 02:27:34,1470.0,1470.0,9.33,220.0,2024-06-20 02:27:42,25.0,3.0,4020.0,4.0
4270_4,17,5982f7ad-a82e-ef11-abbe-043f72dce83d,VOXJAPAN1718848487998,289,Mcdonalds,Restaurants,304172088602090,2024-06-20 02:27:40,560.0,560.0,3.55,84.0,2024-06-20 02:27:50,29.0,6.0,2520.0,4.0
4375_4,17,0ff2773e-2f2e-ef11-abbe-043f72dce83d,VOXJAPAN1718796559606,286,Nakau,Restaurants,584172099982176,2024-06-20 02:46:38,1280.0,1280.0,8.12,192.0,2024-06-20 02:46:41,29.0,4.0,5288.0,4.0
1294_4,17,57b74ba9-212e-ef11-abbe-043f72dce83d,VOXJAPAN1718790645234,284,Mosburger,Restaurants,304172103521256,2024-06-20 02:52:31,870.0,870.0,5.52,130.0,2024-06-20 02:52:34,19.0,5.0,5260.0,4.0
3006_4,17,8ef3cc3b-3b2e-ef11-abbe-043f72dce83d,VOXJAPAN1718801685102,286,Nakau,Restaurants,464172110716271,2024-06-20 03:04:31,840.0,840.0,5.33,126.0,2024-06-20 03:04:35,20.0,3.0,2212.0,4.0
3747_4,17,2786afc8-322e-ef11-abbe-043f72dce83d,VOXJAPAN1718798053071,284,Mosburger,Restaurants,384172113305485,2024-06-20 03:08:50,940.0,940.0,5.96,141.0,2024-06-20 03:08:52,27.0,3.0,6180.0,4.0
224_4,17,917ff7d2-9b2e-ef11-abbe-043f72dce83d,VOXJAPAN1718843106247,289,Mcdonalds,Restaurants,584172120733384,2024-06-20 03:21:12,630.0,630.0,4.0,94.0,2024-06-20 03:21:16,16.0,3.0,2700.0,4.0
