cardholder_id,program_provider_id,card_id,external_user_id,merchant_id,name,category,transaction_id,transaction_date,authorized_amount,transaction_amount,authorized_amount_in_usd,cashback_amount,created_at,Recency,Frequency,Monetary,Cluster
2059_1,17,80f39434-302e-ef11-abbe-043f72dce83d,VOXJAPAN1718796712522,289,Mcdonalds,Restaurants,304171791283496,2024-06-19 21:58:48,870.0,870.0,5.52,130.0,2024-06-19 21:58:51,49.0,1.0,870.0,1.0
804_1,17,d0b37484-8b2e-ef11-abbe-043f72dce83d,VOXJAPAN1718804627448,289,Mcdonalds,Restaurants,384171820922226,2024-06-19 22:48:12,490.0,490.0,3.11,73.0,2024-06-19 22:48:15,34.0,6.0,4340.0,1.0
1170_1,17,854262ab-782e-ef11-abbe-043f72dce83d,VOXJAPAN1718828066653,289,Mcdonalds,Restaurants,584171836835257,2024-06-19 23:14:43,420.0,420.0,2.67,63.0,2024-06-19 23:14:45,33.0,5.0,2780.0,1.0
2728_1,17,4af90615-9c2e-ef11-abbe-043f72dce83d,VOXJAPAN1718843281822,289,Mcdonalds,Restaurants,384172023090417,2024-06-20 00:38:28,640.0,640.0,4.06,96.0,2024-06-20 00:38:31,46.0,2.0,2490.0,1.0
487_1,17,c8906296-9e2e-ef11-abbe-043f72dce83d,VOXJAPAN1718844300317,289,Mcdonalds,Restaurants,584172031022095,2024-06-20 00:51:42,260.0,260.0,1.65,39.0,2024-06-20 00:51:44,48.0,1.0,260.0,1.0
281_1,17,392210fb-a12e-ef11-abbe-043f72dce83d,VOXJAPAN1718845800079,289,Mcdonalds,Restaurants,464172045420627,2024-06-20 01:15:42,500.0,500.0,3.17,75.0,2024-06-20 01:15:45,48.0,1.0,500.0,1.0
261_1,17,0afec12d-a02e-ef11-abbe-043f72dce83d,VOXJAPAN1718844933625,287,Sukiya,Restaurants,584172084939963,2024-06-20 02:21:32,530.0,530.0,3.36,79.0,2024-06-20 02:21:36,48.0,2.0,820.0,1.0
2835_1,17,47e42d47-1d2e-ef11-abbe-043f72dce83d,VOXJAPAN1718788808951,287,Sukiya,Restaurants,584172085603301,2024-06-20 02:22:40,1210.0,1210.0,7.68,181.0,2024-06-20 02:22:44,48.0,1.0,1210.0,1.0
2667_1,17,c56ec600-fa2d-ef11-abbe-043f72dce83d,VOXJAPAN1718773686344,289,Mcdonalds,Restaurants,464172094324158,2024-06-20 02:37:11,810.0,810.0,5.14,121.0,2024-06-20 02:37:26,48.0,3.0,2010.0,1.0
2526_1,17,e1cf9db9-362e-ef11-abbe-043f72dce83d,VOXJAPAN1718799695067,285,Katsuya,Restaurants,384172099837801,2024-06-20 02:46:22,516.0,516.0,3.27,77.0,2024-06-20 02:46:25,48.0,1.0,516.0,1.0
2352_1,17,a3165bb6-912e-ef11-abbe-043f72dce83d,VOXJAPAN1718838752873,289,Mcdonalds,Restaurants,304172099891035,2024-06-20 02:46:29,670.0,670.0,4.25,100.0,2024-06-20 02:46:35,33.0,5.0,3579.0,1.0
24_1,17,d7aed7e2-172e-ef11-abbe-043f72dce83d,VOXJAPAN1718786412198,287,Sukiya,Restaurants,464172105920131,2024-06-20 02:56:32,580.0,580.0,3.68,87.0,2024-06-20 02:56:35,48.0,1.0,580.0,1.0
1075_1,17,bceb99b0-b22e-ef11-abbe-043f72dce83d,VOXJAPAN1718851867865,285,Katsuya,Restaurants,464172116418762,2024-06-20 03:14:01,979.0,979.0,6.21,146.0,2024-06-20 03:14:04,48.0,1.0,979.0,1.0
2232_1,17,8c3a63e5-1e2e-ef11-abbe-043f72dce83d,VOXJAPAN1718788985497,286,Nakau,Restaurants,304172117058511,2024-06-20 03:15:04,730.0,730.0,4.63,109.0,2024-06-20 03:15:07,38.0,5.0,3401.0,1.0
